price,min_to_metro,total_area,living_area,floor,number_of_floors,construction_year,ceiling_height,number_of_rooms,CAR,EAR,NAR,NEAR,NWAR,SAR,SEAR,SWAR,WAR
40811432.0,4.0,83.0,47.3,10.0,10.0,2024.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32107152.0,5.0,71.4,48.2,11.0,13.0,2022.0,3.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32701895.0,6.0,63.0,30.1,12.0,28.0,2022.0,3.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
13000000.0,5.0,65.0,34.0,12.0,18.0,2023.0,2.8,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
20004880.0,11.0,51.4,23.2,25.0,33.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31547360.0,16.0,52.3,29.4,14.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62500000.0,27.0,74.4,27.6,14.0,14.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
23913372.0,7.0,60.7,26.7,9.0,21.0,2023.0,2.74,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
37666040.0,16.0,65.2,35.5,18.0,24.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
47041200.0,8.0,71.6,66.6,35.0,51.0,2023.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33527660.0,19.0,70.7,27.8,22.0,22.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
21931606.0,10.0,51.95,38.9,17.0,30.0,2023.0,3.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
50784952.0,22.0,82.27,32.1,15.0,16.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30553120.0,2025.0,48.1,25.3,8.0,29.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
35520737.0,7.0,63.4,36.2,17.0,22.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40670000.0,10.0,116.2,70.8,12.0,14.0,2023.0,2.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
34585280.0,6.0,70.1,32.7,3.0,13.0,2023.0,3.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
31374890.0,19.0,70.9,32.7,14.0,21.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
38806600.0,12.0,74.2,33.1,9.0,21.0,2023.0,3.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
21910757.0,8.0,44.2,28.5,16.0,35.0,2023.0,3.1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
39303176.0,4.0,81.4,37.7,7.0,10.0,2024.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34073243.0,20.0,66.03,28.3,8.0,46.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90214161.0,12.0,87.3,54.7,5.0,9.0,2021.0,3.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18432030.0,11.0,46.3,21.8,32.0,33.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
29705530.0,25.0,64.4,32.9,6.0,16.0,2022.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68144365.0,12.0,68.7,32.4,3.0,17.0,2022.0,3.6,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34561246.0,22.0,70.59,32.4,21.0,21.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
14518035.0,16.0,52.9,25.5,13.0,14.0,2023.0,2.84,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
41305307.0,4.0,86.5,50.8,3.0,10.0,2024.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26993838.0,9.0,45.8,20.1,4.0,15.0,2022.0,3.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
38951100.0,13.0,76.6,45.8,2.0,32.0,2021.0,3.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
36740000.0,27.0,68.8,24.6,8.0,14.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
31171960.0,19.0,69.7,29.3,21.0,22.0,2023.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20301398.0,27.0,71.6,29.1,2.0,33.0,2023.0,2.62,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
469028980.0,8.0,126.2,63.6,2.0,5.0,2023.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35158818.0,7.0,69.8,32.3,4.0,40.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34371540.0,2025.0,56.7,29.4,14.0,29.0,2023.0,3.15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
29600000.0,15.0,65.1,41.1,23.0,41.0,2024.0,3.2,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
